user_id,tech,hum
2,4,1
3,7,8
4,20,19
5,25,27
6,36,69
7,49,36
8,7,1
9,10,15
10,2,6
11,19,18
12,16,24
13,62,58
14,1,0
15,11,6
16,42,42
17,5,1
18,20,42
19,46,49
20,42,42
21,15,11
22,13,10
23,67,216
24,9,9
25,16,18
26,34,36
27,23,10
28,13,4
29,4,7
30,2,0
31,39,40
32,8,9
33,46,74
34,10,10
35,38,30
36,2,0
37,61,65
38,35,27
39,1,2
40,3,3
41,33,10
42,6,15
43,56,33
44,10,7
45,26,32
46,23,40
47,16,39
48,21,41
49,0,1
50,30,22
51,27,65
52,15,11
53,15,9
54,75,93
55,4,9
56,63,30
57,13,7
58,7,17
59,51,30
60,15,12
61,14,11
62,15,14
63,46,39
64,31,39
65,19,18
66,3,2
67,35,25
68,52,81
69,6,7
70,3,3
71,27,37
72,22,35
73,29,45
74,17,18
75,12,13
76,20,12
77,40,47
78,23,22
79,0,2
80,22,42
81,6,1
83,41,18
84,11,10
85,13,8
86,33,26
87,34,54
88,12,15
89,42,62
90,23,19
91,14,63
92,16,5
93,13,16
94,35,43
95,29,21
96,27,68
97,19,31
98,27,35
99,18,33
100,41,107
101,0,1
102,54,61
103,15,6
104,20,12
105,22,30
106,52,31
107,0,1
108,58,81
109,2,3
110,21,15
111,27,10
112,34,26
113,57,114
114,53,21
115,6,6
116,25,17
117,18,15
118,10,7
119,11,11
120,16,9
121,4,4
122,53,105
123,12,43
125,23,15
126,26,25
127,3,4
129,9,12
130,18,24
131,8,17
132,6,3
133,11,9
134,9,7
135,33,41
136,12,5
137,12,16
138,47,50
139,40,20
140,47,37
141,7,9
142,37,20
143,21,11
144,24,25
145,13,22
146,5,1
147,11,31
148,8,10
149,14,58
150,6,4
151,9,14
152,18,10
153,3,0
154,1,2
155,8,10
156,49,64
157,10,8
159,9,4
160,13,3
161,41,48
162,16,7
163,21,20
164,38,33
165,3,4
166,16,18
167,21,27
168,17,8
169,9,6
170,1,1
171,4,6
172,24,35
173,56,53
174,35,46
175,30,46
176,7,4
177,3,4
178,15,10
179,16,27
180,24,14
181,26,20
182,39,35
183,5,2
184,6,13
185,35,26
186,55,35
187,0,0
188,11,22
189,56,38
190,15,13
191,6,7
192,14,14
193,35,37
194,32,48
195,30,30
196,5,6
197,57,37
198,25,19
199,33,29
200,6,4
201,10,18
202,37,29
203,0,0
204,15,20
205,3,6
206,2,2
207,26,28
208,17,9
209,43,45
210,4,1
211,2,2
212,48,44
213,45,29
214,41,30
215,10,6
216,24,18
217,5,27
218,14,12
219,39,56
220,50,28
221,10,8
222,12,24
223,28,14
224,15,12
225,41,18
226,3,6
227,38,41
228,19,11
229,28,28
230,21,15
231,20,40
232,14,16
233,40,62
234,0,0
235,115,128
236,14,14
237,9,6
238,5,7
239,24,21
240,45,27
241,16,28
242,5,5
243,18,11
244,38,45
245,40,59
246,32,23
247,2,2
248,10,10
249,9,21
250,4,6
251,6,3
252,0,3
253,14,0
254,15,1
255,16,19
256,26,11
257,1,2
258,10,8
259,8,12
260,37,46
261,11,8
262,14,8
263,23,6
264,44,79
265,3,0
266,6,8
267,22,28
268,2,6
269,44,36
270,8,14
271,16,10
272,22,19
273,5,2
274,20,6
275,3,1
276,1,0
277,33,32
278,4,0
279,15,14
280,2,1
281,3,2
282,10,9
283,33,71
284,24,35
285,14,35
286,16,14
287,9,3
288,61,23
289,22,30
290,5,4
291,26,44
292,20,10
293,8,5
294,14,26
295,7,9
296,18,16
298,13,9
299,13,53
300,2,5
301,9,11
302,3,2
303,2,3
304,60,70
305,8,4
306,51,47
307,3,0
308,1,1
309,20,12
310,43,198
311,19,9
312,25,46
313,18,21
314,3,8
315,4,3
316,8,11
317,30,19
318,1,1
319,9,3
320,8,7
321,9,8
322,3,1
323,15,14
324,8,10
325,39,35
326,3,5
327,31,21
328,4,2
330,2,2
331,3,4
332,1,0
333,0,0
334,7,29
335,12,10
336,6,0
337,1,2
338,2,1
339,36,41
340,38,36
341,11,7
342,2,0
343,35,41
344,42,55
345,37,41
346,38,28
347,12,11
348,7,6
349,19,17
350,12,5
351,5,4
352,24,25
353,43,41
354,38,33
355,19,14
356,10,14
357,7,6
358,33,36
359,68,52
360,15,22
361,2,1
363,30,30
364,6,6
365,13,14
366,4,12
367,15,5
368,16,14
369,25,20
370,11,8
371,14,17
372,46,27
373,13,19
374,32,32
375,6,7
376,61,83
377,7,12
378,48,45
379,9,11
380,43,48
381,41,32
382,11,13
383,28,30
384,13,11
385,0,0
386,30,19
387,9,5
388,8,2
389,41,39
390,10,10
391,7,10
392,56,64
393,33,42
394,42,34
395,30,38
396,6,7
397,43,41
398,7,9
399,35,35
400,4,2
401,39,27
402,15,17
403,26,6
404,23,23
405,8,32
406,47,40
407,34,26
408,27,29
409,20,46
410,11,4
411,42,48
412,10,11
413,5,7
414,120,85
415,37,27
416,22,13
417,29,36
418,5,4
419,15,30
420,27,20
421,75,65
422,13,4
423,10,9
424,45,37
425,6,2
426,15,8
427,41,40
428,4,3
429,26,14
430,52,24
431,5,4
432,26,24
433,20,22
434,1,3
435,11,8
436,17,0
437,2,0
438,12,19
439,15,9
440,42,1
441,25,23
442,5,3
443,41,76
444,21,17
445,30,31
446,21,12
447,1,1
448,4,4
449,15,18
450,28,26
451,39,40
452,37,38
453,46,38
454,14,11
455,15,16
456,16,17
457,35,22
458,23,21
459,4,11
460,1,2
461,7,8
462,33,32
463,10,17
464,12,9
465,33,27
466,6,4
467,55,30
468,56,84
469,26,17
470,2,44
471,54,67
472,53,49
473,71,63
474,18,33
475,19,62
476,11,3
477,19,13
478,49,36
479,49,32
480,21,20
481,6,2
482,8,39
483,14,15
484,44,24
485,7,6
486,62,52
487,4,7
488,5,3
489,26,28
490,20,7
491,4,2
492,1,2
493,0,4
494,12,14
495,17,16
496,35,25
497,4,0
498,12,7
499,41,35
500,9,5
501,18,14
502,21,16
503,17,14
504,9,1
505,21,22
506,13,10
507,11,6
508,7,19
509,25,21
510,18,27
511,52,34
512,63,47
513,5,1
514,18,29
515,13,19
516,30,30
517,20,18
518,6,2
519,8,10
520,30,30
521,37,75
522,36,29
523,0,0
524,17,23
525,58,64
526,14,10
527,11,4
529,7,9
530,6,0
531,26,27
532,24,36
533,6,6
534,27,35
535,5,8
536,43,31
537,0,1
538,23,18
539,0,0
540,12,9
541,32,17
542,2,3
543,15,10
544,18,5
545,15,30
546,25,30
547,4,4
548,4,6
549,0,2
550,36,19
551,15,25
552,32,25
553,2,2
554,23,29
555,0,1
556,4,5
557,19,15
558,7,3
559,11,14
560,50,71
561,56,36
562,11,10
563,21,29
564,39,19
565,12,7
566,22,29
567,3,4
568,3,5
569,0,6
570,6,8
571,30,32
572,34,23
573,21,20
574,3,5
575,18,26
576,52,113
577,4,3
578,2,1
579,18,18
580,6,10
581,10,30
582,6,8
583,37,31
584,15,13
585,0,1
587,16,21
588,46,38
589,1,3
590,8,24
591,31,104
592,0,0
593,2,0
594,2,4
595,10,5
596,2,6
597,19,38
598,63,43
599,12,17
600,9,14
602,7,2
603,37,32
604,8,3
605,18,19
606,0,1
607,46,51
608,7,7
609,0,0
610,19,6
611,46,19
612,17,24
613,12,10
614,1,1
615,18,15
616,4,1
617,42,77
618,3,2
619,14,21
620,8,8
621,31,19
622,31,39
623,33,33
624,24,20
625,7,13
626,7,5
627,40,47
628,40,34
629,16,16
630,1,2
631,8,6
632,5,8
633,2,5
634,18,8
635,7,3
636,4,2
637,3,1
638,69,57
639,5,6
640,0,0
641,3,2
642,17,37
643,5,1
644,7,3
645,1,2
646,3,2
647,27,15
648,2,0
649,58,53
650,18,1
651,10,32
652,26,10
653,12,20
654,5,0
655,2,45
656,8,5
657,12,3
658,8,3
659,5,3
660,8,10
661,22,18
662,1,0
663,3,3
664,6,6
665,30,43
666,20,12
667,18,7
668,9,6
669,21,15
670,13,12
671,2,9
672,4,5
673,5,1
674,4,2
675,15,47
677,7,35
678,10,2
679,0,1
680,32,32
681,23,5
682,0,0
684,6,8
685,36,33
686,29,13
687,4,0
688,1,1
689,43,57
690,36,35
691,0,0
692,8,3
693,16,15
694,11,3
695,7,4
696,8,4
697,5,4
698,9,7
699,10,17
700,1,0
701,3,18
702,7,9
703,47,42
704,14,22
705,49,29
706,16,28
708,48,62
709,63,32
710,19,14
711,42,37
712,5,5
713,53,51
714,21,11
715,12,2
716,16,14
717,14,24
718,4,2
719,27,28
720,5,3
721,29,18
722,7,12
723,19,13
724,0,3
725,5,5
726,29,19
727,20,19
728,16,20
729,0,0
730,5,4
731,7,7
732,4,3
733,25,35
734,0,0
735,27,25
736,47,27
737,1,0
738,13,8
739,48,30
740,29,14
741,46,37
742,23,16
743,3,1
744,36,135
745,9,4
746,36,40
747,32,32
748,44,47
749,44,34
750,2,5
751,42,37
752,21,18
753,5,2
754,28,32
755,7,11
756,14,10
757,10,15
758,24,21
759,38,31
760,9,8
761,38,43
762,33,29
763,39,33
764,12,11
765,3,8
766,41,33
767,4,4
768,2,1
769,42,45
770,48,33
771,3,4
772,23,23
773,21,14
774,0,1
775,25,20
776,18,22
777,7,5
778,10,11
779,29,22
780,42,33
781,5,4
782,28,24
783,11,15
784,61,38
785,14,10
786,45,36
787,35,20
788,15,10
789,38,46
790,10,10
791,27,23
792,8,6
793,39,52
794,3,4
795,1,0
796,19,18
797,27,60
798,51,45
799,28,14
800,17,17
801,22,17
802,17,10
803,3,5
804,53,28
805,1,1
806,14,49
807,3,9
808,22,12
809,15,38
810,3,5
811,21,26
812,3,1
813,32,27
814,44,40
815,36,21
816,4,3
817,25,12
818,10,1
819,43,28
820,16,24
821,7,8
822,14,16
823,18,33
824,30,15
825,41,32
826,25,15
827,20,9
828,49,24
829,7,2
830,13,12
831,6,10
832,4,1
833,57,41
834,24,42
835,63,30
836,29,41
837,2,2
838,27,30
839,6,5
840,44,39
841,38,30
842,11,9
843,7,4
844,37,33
845,15,17
846,35,28
847,11,9
848,34,40
849,53,50
850,60,58
851,12,33
852,15,6
853,36,49
854,7,14
855,25,17
856,0,0
857,45,41
858,22,19
859,45,23
860,7,6
861,4,5
862,41,28
863,33,27
864,0,0
865,46,33
866,0,0
867,2,1
868,5,1
869,7,1
870,9,9
871,10,8
872,19,17
873,9,11
874,11,21
875,4,8
876,8,6
877,8,12
878,30,11
879,4,7
880,12,13
881,9,30
882,33,27
883,49,28
884,17,9
885,22,18
886,40,31
887,6,8
888,0,1
889,15,5
890,33,27
891,2,1
892,38,36
893,3,2
894,23,26
895,4,4
896,0,0
897,1,4
898,47,27
899,2,1
900,12,10
901,50,40
902,12,11
903,0,1
904,11,17
905,20,10
906,10,3
907,6,5
908,9,3
909,37,51
910,47,30
911,13,33
912,2,1
913,4,4
914,1,1
915,2,1
916,14,10
917,2,2
918,5,2
919,5,4
920,7,6
921,2,2
922,54,39
923,6,7
924,45,22
925,19,13
926,10,7
927,6,4
928,21,16
929,59,51
930,8,5
931,10,11
932,4,1
933,3,2
934,23,22
935,1,0
936,7,11
937,8,4
938,6,5
939,15,12
940,34,58
941,46,33
942,3,0
943,9,10
944,11,36
945,26,21
946,13,6
947,22,111
948,33,44
949,32,34
950,9,10
951,0,4
952,10,5
953,37,13
954,0,0
955,47,42
957,12,7
958,4,13
959,10,6
960,4,1
961,0,0
962,29,20
963,17,12
964,3,3
965,15,11
966,3,1
967,40,42
968,38,20
969,9,10
970,11,15
971,30,38
972,14,8
973,2,1
974,31,38
975,17,11
976,2,1
977,28,23
978,11,3
979,9,7
980,17,15
981,8,2
982,29,29
983,13,84
984,4,4
985,21,17
986,29,43
987,2,1
988,15,12
989,62,48
990,0,2
991,2,3
992,47,45
993,11,4
994,2,2
995,8,24
996,10,3
997,36,39
998,5,11
999,39,11
1000,10,7
1001,15,12
1002,1,1
1003,16,3
1004,0,0
1005,11,9
1006,6,11
1007,20,41
1008,7,3
1009,1,0
1010,3,8
1011,1,1
1012,31,34
1013,26,23
1014,20,13
1015,23,12
1017,61,22
1018,1,1
1019,4,1
1020,17,16
1021,20,7
1022,6,4
1023,0,0
1024,8,2
1025,23,17
1026,10,25
1027,58,28
1028,19,5
1029,19,5
1030,17,12
1031,4,0
1032,43,99
1033,4,4
1034,7,1
1035,47,35
1036,63,33
1037,24,17
1038,12,11
1039,0,0
1040,7,1
1041,1,4
1042,1,1
1043,14,20
1044,19,16
1045,0,0
1046,0,0
1047,7,8
1048,6,2
1049,19,12
1050,1,0
1051,5,3
1052,8,26
1053,3,4
1054,1,0
1055,3,5
1056,4,8
1057,7,6
1058,0,0
1059,16,26
1060,26,17
1061,5,10
1062,36,36
1063,39,27
1064,28,21
1065,15,16
1066,36,37
1067,13,9
1068,4,1
1069,7,4
1070,62,55
1071,16,6
1072,2,1
1073,49,51
1074,54,60
1075,15,19
1076,9,9
1077,36,34
1078,32,21
1079,23,18
1080,14,21
1081,68,55
1082,11,16
1083,6,2
1084,3,8
1085,19,19
1086,50,104
1087,8,14
1088,43,42
1089,39,27
1090,2,1
1091,34,30
1092,14,10
1093,65,44
1094,59,49
1095,35,30
1096,29,34
1097,1,0
1098,39,45
1099,53,57
1100,14,6
1101,23,14
1102,31,27
1103,22,24
1104,6,1
1105,37,39
1106,25,13
1107,3,1
1108,10,14
1109,14,19
1110,20,16
1111,3,7
1112,44,49
1113,37,28
1114,4,2
1115,3,3
1116,9,14
1117,5,8
1118,27,17
1119,21,16
1120,56,63
1121,20,0
1122,38,53
1123,7,3
1124,25,5
1125,75,42
1126,25,27
1127,17,9
1128,24,19
1129,14,11
1130,30,9
1131,24,80
1132,16,9
1133,5,8
1134,2,1
1135,17,57
1136,5,4
1138,6,3
1139,47,43
1140,27,17
1141,45,36
1142,12,12
1143,44,21
1144,14,8
1145,29,30
1146,6,11
1147,49,51
1148,21,55
1149,8,4
1150,2,5
1151,9,13
1152,12,4
1153,43,62
1154,6,14
1155,51,60
1156,7,10
1157,63,30
1158,52,47
1159,12,11
1160,14,8
1161,2,0
1162,30,31
1163,1,0
1164,12,9
1165,1,0
1166,1,2
1167,40,27
1169,67,49
1170,3,3
1171,36,30
1172,5,4
1173,31,21
1174,46,32
1175,3,1
1176,17,26
1177,11,1
1178,21,32
1179,1,3
1180,2,3
1181,20,22
1182,5,4
1183,14,11
1184,18,8
1185,6,7
1186,5,3
1187,18,27
1188,52,55
1189,2,5
1190,9,1
1191,2,1
1192,42,31
1193,33,30
1194,25,19
1195,30,26
1196,17,10
1197,2,0
1198,15,21
1199,4,6
1200,29,9
1201,9,4
1202,36,51
1203,49,43
1204,85,56
1205,60,82
1206,17,79
1207,0,3
1208,1,1
1209,27,24
1210,7,11
1211,33,34
1212,5,4
1213,4,5
1214,52,54
1215,20,10
1216,59,30
1217,17,10
1218,47,55
1219,6,6
1220,0,0
1221,51,69
1222,51,24
1223,3,14
1224,15,15
1225,11,20
1226,10,6
1227,33,23
1228,37,25
1229,7,6
1230,10,5
1231,16,15
1232,38,41
1233,43,27
1234,31,14
1235,7,12
1236,14,8
1237,42,49
1238,6,0
1239,22,45
1240,5,1
1241,0,0
1242,11,11
1243,12,8
1244,10,2
1245,8,0
1246,3,8
1247,24,29
1248,8,6
1249,21,18
1250,20,7
1251,37,40
1252,2,1
1253,1,2
1254,18,14
1255,16,17
1256,43,71
1257,10,10
1258,26,32
1259,15,5
1260,2,1
1261,21,31
1262,6,13
1263,18,80
1264,33,21
1265,19,23
1266,35,38
1267,9,7
1268,2,1
1269,6,4
1270,19,6
1271,0,1
1272,53,57
1273,15,8
1274,7,9
1275,20,23
1276,20,25
1277,26,21
1278,3,2
1279,25,19
1280,40,30
1281,14,9
1282,31,19
1283,10,10
1284,10,10
1285,9,8
1286,4,4
1287,42,33
1288,6,6
1289,22,19
1290,0,2
1291,6,10
1292,5,19
1293,20,22
1294,13,11
1295,27,27
1296,29,10
1297,21,50
1298,12,16
1299,23,34
1300,4,7
1301,9,8
1302,10,10
1303,8,7
1304,6,6
1305,49,54
1306,12,16
1307,1,3
1308,2,0
1309,4,1
1310,0,0
1311,14,7
1312,45,56
1313,18,10
1314,44,84
1315,6,3
1316,37,15
1317,5,2
1318,13,23
1319,2,1
1320,22,19
1321,9,8
1322,7,4
1323,0,1
1324,0,2
1325,26,19
1326,35,32
1327,51,28
1328,51,42
1329,6,2
1330,65,38
1331,15,21
1332,0,0
1333,5,6
1334,15,11
1335,45,22
1336,5,8
1337,3,0
1338,3,6
1339,19,18
1340,8,0
1341,1,1
1342,12,12
1343,25,20
1344,43,55
1345,12,10
1346,9,9
1347,38,66
1348,35,13
1349,9,5
1350,60,30
1351,42,35
1352,21,11
1353,2,10
1354,3,2
1355,19,11
1356,16,16
1357,15,6
1358,42,32
1359,39,40
1360,8,6
1361,13,4
1362,1,0
1363,7,9
1364,2,2
1365,6,6
1366,43,22
1367,2,0
1368,21,24
1369,1,1
1370,10,10
1372,4,2
1373,3,5
1374,6,9
1375,13,1
1376,35,15
1377,2,1
1378,5,4
1379,26,33
1380,31,27
1381,30,22
1382,11,3
1383,2,3
1384,32,13
1385,0,4
1386,1,2
1387,3,1
1388,4,4
1389,21,4
1390,13,7
1391,15,5
1392,0,0
1393,0,0
1394,20,11
1395,2,1
1396,3,3
1397,3,3
1398,1,1
1400,3,6
1401,2,0
1402,0,0
1403,0,0
1405,1,1
1406,12,12
1407,0,0
1408,25,26
1409,0,1
1410,1,4
1411,19,29
1412,1,1
1413,1,2
1414,40,49
1415,8,7
1416,7,3
1417,19,18
1418,4,2
1419,5,6
1420,0,0
1421,3,3
1422,45,16
1423,11,12
1424,10,5
1425,28,34
1426,25,18
1427,32,36
1428,22,45
1429,32,40
1430,22,21
1432,3,4
1433,45,43
1434,5,4
1435,18,7
1436,2,2
1437,49,32
1438,38,35
1439,4,7
1440,34,28
1441,37,44
1442,25,16
1443,34,39
1444,47,28
1445,29,37
1446,10,9
1447,43,57
1448,45,42
1449,3,2
1450,15,10
1451,8,7
1452,23,23
1453,40,47
1454,48,38
1455,11,10
1456,20,26
1457,48,36
1458,1,3
1459,39,28
1460,4,3
1461,55,60
1462,10,18
1463,32,33
1464,26,24
1465,44,44
1466,9,7
1467,8,9
1468,4,8
1469,41,38
1470,3,2
1471,50,55
1472,0,0
1473,9,2
1474,7,4
1475,51,44
1476,113,69
1477,3,7
1478,14,9
1479,43,47
1480,18,5
1482,4,4
1483,31,25
1484,12,17
1485,4,7
1486,58,35
1487,37,36
1488,16,20
1489,34,80
1490,43,34
1491,19,16
1492,8,5
1493,3,3
1494,12,13
1495,17,15
1496,13,12
1497,17,13
1498,31,59
1499,21,35
1500,19,14
1501,44,42
1502,48,31
1503,4,6
1504,5,1
1505,19,16
1506,47,43
1507,20,30
1508,23,31
1509,38,25
1510,35,30
1511,9,11
1512,16,15
1513,8,7
1514,38,27
1515,21,38
1516,19,43
1517,34,33
1518,21,33
1519,6,6
1520,7,5
1521,35,31
1522,49,37
1523,25,19
1524,12,8
1525,15,14
1526,0,0
1527,21,16
1528,21,27
1529,6,2
1530,23,22
1531,4,15
1532,4,3
1533,33,25
1534,6,10
1535,25,22
1536,9,12
1537,2,0
1538,50,54
1539,9,9
1540,8,5
1541,45,53
1542,69,42
1543,7,1
1544,7,0
1545,22,27
1546,37,31
1547,2,1
1548,10,20
1549,8,7
1550,8,10
1551,7,17
1552,27,25
1553,10,1
1554,6,10
1555,0,0
1556,12,6
1557,20,17
1558,25,1
1559,78,70
1560,7,4
1561,18,18
1562,56,40
1563,3,1
1564,7,8
1565,7,6
1566,6,11
1567,23,25
1568,23,33
1569,25,23
1570,11,12
1571,46,52
1572,27,90
1573,38,44
1574,1,0
1575,58,37
1576,13,9
1577,3,3
1578,7,7
1579,6,14
1580,4,6
1581,27,20
1582,2,2
1583,5,1
1584,52,31
1585,27,31
1586,10,7
1587,41,32
1588,30,42
1589,17,18
1590,15,7
1591,3,0
1592,25,61
1593,26,35
1594,34,46
1595,29,42
1596,13,23
1597,5,7
1598,61,56
1599,6,3
1600,4,2
1601,15,4
1602,14,29
1603,50,41
1604,13,5
1605,6,19
1606,16,9
1607,0,1
1608,2,0
1609,34,8
1610,6,14
1611,7,6
1612,46,26
1613,49,41
1614,11,11
1615,5,8
1616,51,35
1617,29,15
1618,7,8
1619,32,18
1620,50,36
1621,17,6
1622,24,12
1623,23,13
